1,2024-11-06T03:00:00.000Z
0,2024-11-06T03:00:13.909Z
1,2024-11-06T03:00:16.511Z
2,2024-11-06T03:00:19.123Z
3,2024-11-06T03:00:40.010Z
2,2024-11-06T03:00:40.851Z
3,2024-11-06T03:00:43.463Z
2,2024-11-06T03:00:45.242Z
3,2024-11-06T03:00:50.463Z
2,2024-11-06T03:00:52.145Z
3,2024-11-06T03:00:55.692Z
2,2024-11-06T03:01:01.739Z
3,2024-11-06T03:01:04.345Z
4,2024-11-06T03:01:13.948Z
2,2024-11-06T03:01:16.597Z
3,2024-11-06T03:01:22.634Z
2,2024-11-06T03:01:29.603Z
1,2024-11-06T03:01:37.451Z
2,2024-11-06T03:01:40.903Z
1,2024-11-06T03:01:49.569Z
2,2024-11-06T03:01:50.501Z
3,2024-11-06T03:01:52.182Z
2,2024-11-06T03:01:58.325Z
3,2024-11-06T03:02:01.772Z
2,2024-11-06T03:02:03.547Z
1,2024-11-06T03:02:04.400Z
2,2024-11-06T03:02:10.450Z
1,2024-11-06T03:02:16.588Z
0,2024-11-06T03:02:21.823Z
1,2024-11-06T03:02:22.663Z
2,2024-11-06T03:02:24.419Z
1,2024-11-06T03:02:28.747Z
2,2024-11-06T03:02:34.860Z
1,2024-11-06T03:02:37.482Z
2,2024-11-06T03:02:40.941Z
1,2024-11-06T03:02:43.554Z
2,2024-11-06T03:02:49.610Z
1,2024-11-06T03:02:53.144Z
2,2024-11-06T03:02:55.761Z
3,2024-11-06T03:04:08.835Z
2,2024-11-06T03:04:11.443Z
1,2024-11-06T03:04:21.899Z
2,2024-11-06T03:04:47.986Z
1,2024-11-06T03:04:53.209Z
2,2024-11-06T03:04:55.817Z
1,2024-11-06T03:05:01.895Z
2,2024-11-06T03:05:04.508Z
1,2024-11-06T03:05:07.956Z
2,2024-11-06T03:05:10.569Z
0,2024-11-06T03:05:14.086Z
1,2024-11-06T03:05:16.701Z
0,2024-11-06T03:05:21.927Z
1,2024-11-06T03:05:22.766Z
2,2024-11-06T03:05:40.193Z
1,2024-11-06T03:05:42.808Z
0,2024-11-06T03:05:58.463Z
1,2024-11-06T03:06:01.089Z
2,2024-11-06T03:06:01.934Z
3,2024-11-06T03:06:35.009Z
4,2024-11-06T03:06:45.458Z
3,2024-11-06T03:06:58.506Z
2,2024-11-06T03:07:01.132Z
3,2024-11-06T03:07:01.968Z
2,2024-11-06T03:07:08.031Z
